2,0.00100000000000000002,32,8,16,8,1,3,5,7,5,0.0304999999999999993,0.0845999999999999946,0.0102000000000000007,0.0410000000000000017,0.00919999999999999984,0.0383000000000000007,0.00710000000000000041,0.0328000000000000028,0.00679999999999999962,0.0316000000000000031,0.00589999999999999986,0.0286000000000000004,0.00559999999999999994,0.0282999999999999988,0.00510000000000000037,0.0263999999999999999,0.0050000000000000001,0.0261000000000000017,0.00459999999999999992,0.0248999999999999985,0.00239999999999999979,0.0168999999999999984
3,0.0100000000000000002,32,1,8,8,16,5,7,3,3,0.0109,0.0378000000000000003,0.00239999999999999979,0.0146999999999999995,0.00179999999999999995,0.0138999999999999992,0.00129999999999999994,0.0111000000000000005,0.00150000000000000003,0.0122000000000000008,0.00119999999999999989,0.0111000000000000005,0.00129999999999999994,0.0114999999999999998,0.00110000000000000007,0.0100000000000000002,0.00129999999999999994,0.0114000000000000004,0.00119999999999999989,0.0106999999999999994,0.00100000000000000002,0.0100000000000000002
1,0.100000000000000006,32,4,4,4,8,5,5,5,5,0.0280000000000000006,0.0772999999999999937,0.00899999999999999932,0.0381999999999999978,0.00889999999999999993,0.0374000000000000027,0.00659999999999999996,0.0298000000000000001,0.00659999999999999996,0.0309999999999999998,0.00570000000000000021,0.0269000000000000003,0.00530000000000000002,0.0274000000000000007,0.00479999999999999958,0.0242999999999999987,0.00449999999999999966,0.0247999999999999991,0.0057999999999999996,0.0320000000000000007,0.00239999999999999979,0.0170000000000000012
2,0.100000000000000006,32,16,4,8,16,7,7,7,3,0.0134999999999999998,0.0400999999999999968,0.00179999999999999995,0.0146000000000000001,0.00129999999999999994,0.0122000000000000008,0.00119999999999999989,0.0126000000000000001,0.000876229999999999978,0.00990000000000000081,0.000665259999999999983,0.00850000000000000061,0.000681080000000000032,0.00860000000000000001,0.000586739999999999983,0.00770000000000000025,0.000623979999999999999,0.00830000000000000009,0.000487369999999999991,0.00689999999999999988,0.000252310000000000002,0.00479999999999999958
1,0.0500000000000000028,32,1,8,1,4,7,3,5,7,0.0364999999999999977,0.0895999999999999991,0.0114000000000000004,0.0435999999999999999,0.0102000000000000007,0.0410999999999999976,0.00779999999999999964,0.0340999999999999984,0.00730000000000000007,0.0332000000000000003,0.00600000000000000012,0.0293999999999999991,0.0057999999999999996,0.0290000000000000015,0.00519999999999999976,0.0281,0.00489999999999999984,0.0261000000000000017,0.00510000000000000037,0.0251000000000000008,0.00239999999999999979,0.0181000000000000015
2,0.100000000000000006,32,4,8,16,4,7,3,7,7,0.00959999999999999916,0.0355999999999999997,0.00150000000000000003,0.0126999999999999995,0.00150000000000000003,0.0129,0.000966060000000000031,0.0100999999999999996,0.00096334000000000003,0.0103000000000000001,0.00090647000000000004,0.00959999999999999916,0.000758859999999999982,0.00910000000000000045,0.00098583000000000004,0.0106,0.000621820000000000033,0.00820000000000000069,0.000632010000000000015,0.0086999999999999994,0.000242450000000000011,0.00479999999999999958
3,0.0100000000000000002,1024,4,8,8,16,5,3,5,3,0.0446999999999999967,0.104300000000000004,0.0347999999999999976,0.0758000000000000063,0.0100000000000000002,0.0403000000000000025,0.0216000000000000011,0.0565999999999999975,0.00589999999999999986,0.0282999999999999988,0.0123999999999999996,0.0415999999999999981,0.00389999999999999982,0.0217000000000000005,0.00519999999999999976,0.0251000000000000008,0.00300000000000000006,0.0185999999999999985,0.00300000000000000006,0.0181000000000000015,0.000864909999999999984,0.00940000000000000037
2,0.0100000000000000002,128,8,4,8,8,3,5,7,5,0.0487000000000000002,0.106800000000000006,0.0160000000000000003,0.0568999999999999992,0.0146000000000000001,0.0529000000000000026,0.0115999999999999992,0.0444999999999999979,0.0108000000000000006,0.0429000000000000006,0.00899999999999999932,0.0381999999999999978,0.00839999999999999948,0.0367000000000000035,0.00749999999999999972,0.0342999999999999972,0.0071999999999999998,0.0332000000000000003,0.00659999999999999996,0.0318999999999999978,0.000864909999999999984,0.00940000000000000037
3,0.0100000000000000002,1024,4,4,1,1,7,5,7,5,0.0556999999999999995,0.101999999999999993,0.0526999999999999968,0.0898999999999999938,0.00899999999999999932,0.0361000000000000001,0.0267000000000000015,0.0637000000000000066,0.0050000000000000001,0.0258,0.0143999999999999996,0.046199999999999998,0.00389999999999999982,0.022200000000000001,0.00990000000000000081,0.0376999999999999974,0.00489999999999999984,0.0250000000000000014,0.00689999999999999988,0.0302000000000000011,0.00119999999999999989,0.0115999999999999992
2,0.0100000000000000002,1024,4,4,8,16,3,3,5,5,0.0990999999999999936,0.140000000000000013,0.0783999999999999975,0.147999999999999993,0.0675000000000000044,0.140699999999999992,0.0627000000000000057,0.120300000000000004,0.0553000000000000019,0.117199999999999999,0.0560999999999999971,0.108600000000000002,0.050700000000000002,0.1066,0.0502000000000000016,0.101000000000000006,0.0468999999999999972,0.0995000000000000051,0.0435999999999999999,0.094200000000000006,0.0182000000000000009,0.0510999999999999996
